prefix	title	tag	label	flag	num	text_1	text_2	text_3	text_4	text_5	text_6	text_7	text_8	text_9	text_10	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
小品	小品	阅读	0	train	10	小品|大全	小品|搞笑|大全	小品|演员	小品|剧本	小品|大全|剧本|幽默|大全	小品|相亲	小品|视频	小品|搞笑|大全|剧本	小品|大全|宋|小宝	小品|不|差钱	0.198	0.066	0.024	0.020	0.017	0.012	0.010	0.010	0.009	0.007
nga	NGA|玩家|社区	应用	1	train	9	nga|玩家|社区	nga|阴阳师	nga|魔兽|世界|论坛	ngauhung	ngauhung|纯音乐	nga|论坛	nga|王者|荣耀	ngauhung|原版	ngauhung|原版	PAD	0.561	0.076	0.072	0.052	0.018	0.012	0.009	0.009	0.008	0.000
快|穿|之|男神	快|穿|之|男神|攻略	阅读	0	train	10	快|穿|之|男神|跟着|炮灰|跑	快|穿|之|男神|攻略|守则	快|穿|之|男神|不要|跑|h	快|穿|之|男神|攻略|宝典	快|穿|之|男神|攻略	快|穿|之|男神|是|用来|撩|的	快|穿|之|男神|攻略|手册	快|穿|之|男神|组团|来袭	快|穿|之|男神|洗白|手册	快|穿|之|男神|勾勾|来	0.120	0.078	0.073	0.060	0.052	0.048	0.042	0.033	0.033	0.031
清风|dj	清风|dj|网	百科	1	train	10	清风|dj|音乐网	清风|dj|音乐	清风|dj|网	清风|dj|音乐网|免费	清风|dj|网站	清风|dj2018	清风|dj|音乐网|粤语|串烧	清风|dj|网页	清风|dj|音乐|播放器	清风|dj|音乐网|清风	0.463	0.036	0.029	0.027	0.020	0.015	0.004	0.004	0.003	0.003
乳腺|增生	乳腺|增生症	百科	1	train	10	乳腺|增生|的|症状|表现	乳腺|增生|怎么|治|最好	乳腺|增生|吃|什么|药	乳腺|增生|怎么办	乳腺|增生|不能|吃|什么	乳腺|增生|结节	乳腺|增生|严重|吗	乳腺|增生|禁忌	乳腺|增生|怎么|冶疗	乳腺|增生|症状	0.145	0.078	0.052	0.038	0.033	0.023	0.018	0.010	0.009	0.008
更	女性|更年期|综合症|的|表现	经验	1	train	9	更|多|推荐	更年期|症状|有|哪些	更年期	更年期|综合症|的|表现	更|组词	更年期|吃|什么|药|调理	更|健康|的|丰胸	更年期|年龄	更新|补偿|宝盒	PAD	0.408	0.043	0.032	0.023	0.018	0.015	0.008	0.006	0.006	0.000
汽车	汽车|之|家	应用	0	train	9	汽车|之|家	汽车|之家|2018|最新|报价	汽车|时刻表	汽车票|查询	汽车|标志|大全	汽车|之家|官网	汽车报价|大全	汽车报价	汽车票	PAD	0.168	0.037	0.023	0.021	0.020	0.017	0.016	0.010	0.009	0.000
农机	农机|通	百科	1	train	10	农机|网	农机|补贴|2018|价格表	农机|通	农机|360|网	农机|通网	农机|市场	农机|360	农机|大全	农机配件	农机|价格	0.134	0.129	0.046	0.027	0.016	0.015	0.013	0.012	0.012	0.012
银耳	冰糖|银耳汤|的|做法	经验	0	train	10	银耳|红枣汤	银耳汤|的|做法	银耳|的|功效	银耳|莲子|羹	银耳|的|做法	银耳汤	银耳|莲子汤	银耳汤|的|功效	银耳|的|做法|大全	银耳|为什么|不能|天天|吃	0.114	0.059	0.053	0.050	0.045	0.037	0.014	0.012	0.011	0.009
袁阔成	袁阔成|评书|代表作|丛书|•|春秋|五霸	百科	0	train	10	袁阔成|三国演义|365|回	袁阔成|三国演义|365|)|回	袁阔成|评书|网	袁阔成|三国演义	袁阔成|评书|大全	袁阔成|评书|三国演义	袁阔成|评书	袁阔成|封神演义	袁阔成|封神演义|全|200|回	袁阔成|水泊梁山	0.247	0.093	0.074	0.063	0.057	0.050	0.035	0.022	0.014	0.014
嘉应|中	嘉应|中学	百科	0	train	3	嘉应|中学	嘉应|中学|官网	嘉应|中学|录取|分数线	PAD	PAD	PAD	PAD	PAD	PAD	PAD	0.686	0.164	0.151	0.000	0.000	0.000	0.000	0.000	0.000	0.000
大头菜	爆炒|大头菜|的|做法	菜谱	0	train	10	大头菜|怎么|做|好吃	大头菜|的|做法	大头菜|炒|西红柿	大头菜|图片	大头菜|咸菜	大头菜|炒|粉条	大头菜|咸菜|的|做法|大全	大头菜|炒肉	大头菜|的|做法|大|全家|常	大头菜|炒|粉条|的|做法	0.165	0.162	0.055	0.034	0.033	0.028	0.014	0.013	0.012	0.011
孕妇|可以|吃|粽子	快到|端午节|了|孕妇|可以|吃|粽子|吗	健康	0	train	3	孕妇|可以|吃|粽子|吗	孕妇|可以|吃|粽子|吗|早期	孕妇|可以|吃|粽子|吗	PAD	PAD	PAD	PAD	PAD	PAD	PAD	0.888	0.067	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000
对联	对联	阅读	0	train	10	对联|大全	对联|大|全集	对联|100|副|欣赏	对联|生成器	对联|的|起源	对联|的|特点	对联|平仄	对联|大全|千古|绝对	对联	对联|生成器|在线|生成	0.237	0.048	0.042	0.025	0.017	0.012	0.010	0.010	0.009	0.008
鸽子	鸽子	百科	0	train	10	鸽子|汤|怎么|炖|最|营养	鸽子|血|纹身	鸽子|汤|的|功效|与|作用	鸽子|汤	鸽子|窝|公园|旅游	鸽子|图片	鸽子|汤|的|做法	鸽子|窝|公园	鸽子|吉他谱	鸽子|蛋	0.097	0.053	0.043	0.035	0.017	0.015	0.015	0.015	0.009	0.008
安全|教育|平台	学校|安全|教育|平台|网	网站	0	train	10	安全|教育|平台|登录|入|囗	安全|教育|平台|登录	安全|教育|平台|登录|入口	安全|教育|平台|下载	安全|教育|平台|帐号|登录	安全|教育|平台	安全|教育|平台|我|的|作业	安全|教育|平台|登录|账号	安全|教育|平台|账号|登录	安全|教育|平台|作业	0.134	0.061	0.045	0.045	0.028	0.024	0.024	0.016	0.011	0.008
成都|职业	成都|职业|技术|学院|花源|校区	百科	0	train	10	成都|职业|技术|学院	成都|职业|技术|学院|官网	成都|职业|技术学校	成都|职业|学校	成都|职业|学院	成都|职业|技术|学院|贴|吧	成都|职业|技术学校|官网	成都|职业|学校|排名	成都|职业|学校|有|哪些	成都|职业|技术|学院|宿舍	0.560	0.242	0.038	0.028	0.012	0.011	0.010	0.010	0.009	0.008
雄安|新区	北京|到|雄安|新区|多少|公里	知道	0	train	10	雄安|新区|最新消息	雄安|新区|吧	雄安|新区|建设	雄安|新区|地图	雄安|新区|规划	雄安|新区|规划|最新消息	雄安|新区|房价	雄安|新区|坑|了|河北人	雄安|新区|吧|百度|贴|吧	雄安|新区|房价|2018|房价	0.122	0.117	0.039	0.017	0.014	0.013	0.012	0.012	0.012	0.010
折	折|800	网站	0	train	10	折纸|大全	折纸	折纸|大全|简单|又|漂亮	折耳猫	折纸|玫瑰	折纸|教程	折腰	折纸|枪	折纸|花	折|800	0.077	0.042	0.035	0.022	0.019	0.015	0.013	0.012	0.010	0.010
春风|又|绿	春风|又|绿|两|江岸|：|重庆	阅读	0	train	9	春风|又|绿|江南|岸	春风|又|绿|江南|岸下|一句	春风|又|绿|江南|岸|的|绿字	春风|又|绿|江南|岸|全诗	春风|又|绿|江南|岸|王平	春风|又|绿|江南|岸|小说	春风|又|绿|江南|岸	春风|又|绿|江南|岸|1|-|27|完	春风|又|绿|江南	PAD	0.520	0.206	0.046	0.022	0.019	0.013	0.012	0.010	0.010	0.000
教育部	教育部|全国|青少年|普法网	网站	0	train	10	教育部|2018|取消|自考	教育部考试中心	教育部|青少年|普法网	教育部|官网	教育部考试中心|官网	教育部|网站	教育部|直属|师范大学	教育部|开学|第一课	教育部|全国|青少年|网	教育部|部长	0.126	0.087	0.057	0.034	0.019	0.017	0.015	0.013	0.012	0.011
荨麻疹	治疗|荨麻疹	百科	0	train	10	荨麻疹|图片	荨麻疹|该|怎么|治疗	荨麻疹|症状	荨麻疹|会|不会|传染	荨麻疹|传染|吗	荨麻疹|如何|除根	荨麻疹|怎么|引起|的	荨麻疹|怎么|治	荨麻疹|用药	荨麻疹|不|吃药|会|自愈|吗	0.129	0.068	0.041	0.037	0.016	0.015	0.013	0.011	0.009	0.008
滴滴	嘀嗒|出行	应用	0	train	10	滴滴|顺风|车	滴滴|打车	滴滴|出行	滴滴|车主	滴滴|快车	滴滴|司机	滴滴|客服|电话	滴滴|外卖	滴滴|客服|电话|人工|服务	滴滴|客服	0.068	0.053	0.029	0.028	0.018	0.014	0.014	0.011	0.010	0.010
