prefix	title	tag	label	flag	num	text_1	text_2	text_3	text_4	text_5	text_6	text_7	text_8	text_9	text_10	text_11	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10	score_11
nga	nga	百科	0	train	9	nga|玩家|社区	nga|阴阳师	nga|魔兽|世界|论坛	ngauhung	ngauhung|纯|音乐	nga|论坛	nga|王者|荣耀	ngauhung|原版	ngauhung|原版	PAD	PAD	0.561	0.076	0.07200000000000001	0.052000000000000005	0.018000000000000002	0.012	0.009000000000000001	0.009000000000000001	0.008	0.0	0.0
中秋节	作文|我|喜欢|过|的|节日|2C|中秋节	知道	0	train	10	中秋节|手抄报	中秋节|手抄报|图片|大全	中秋节|的|来历	中秋节|放假	中秋节|高速|免费|吗	中秋节|的|诗句	中秋节|是|几|月|几|日	中秋节|的|习俗	中秋节|高速|免费|吗|2018	中秋节|2018	PAD	0.16	0.034	0.027000000000000003	0.026000000000000002	0.023	0.019	0.015	0.015	0.013000000000000001	0.013000000000000001	0.0
魔道	魔道|祖师	音乐	0	train	10	魔道|祖师	魔道|祖师|小说	魔道|祖师|漫画	魔道|祖师|动漫	魔道|祖师|图片	魔道|祖师|墨|香|铜|臭	魔道|祖师|番外	魔道|祖师番|外肉	魔道|祖师|倒立|洞房|污图	魔道|祖师|广播剧	PAD	0.322	0.124	0.026000000000000002	0.025	0.021	0.013999999999999999	0.008	0.006999999999999999	0.006999999999999999	0.006	0.0
籍贯	籍贯|怎么|填写	经验	1	train	10	籍贯|怎么|填写	籍贯|是|什么|意思	籍贯|是|什么	籍贯|怎么|填写|才|正确	籍贯|怎么|填	籍贯|是|填|省|还是|市	籍贯|怎么|填写|才|规范	籍贯|是|什么|意思|怎么|填	籍贯|怎么|写	籍贯|什么|意思	PAD	0.434	0.17800000000000002	0.035	0.03	0.027999999999999997	0.021	0.009000000000000001	0.009000000000000001	0.006999999999999999	0.004	0.0
有|道	有|道|翻译官	应用	1	train	10	有|道|翻译	有|道|翻译|在线	有|道|词典	有|道词|典在线|翻译	有|道|翻译|在线|翻译	有|道|翻译官	有|道|在线|翻译	有|道|翻译|在线|使用	有|道|精品|课	有道云|笔记	PAD	0.384	0.15	0.138	0.061	0.015	0.013999999999999999	0.013000000000000001	0.006999999999999999	0.004	0.003	0.0
苏荣	苏荣彪	百科	0	train	10	苏荣案|余|毒	苏荣案|读后感	苏荣|余毒案|的|认识	苏荣|简历	苏荣案	苏荣|是|华国锋|的|儿孑|吗	苏荣华|国锋|之|子	苏荣|的|后台|特大	苏荣案|的|警示|教育	苏荣生|罗澜清|免费|阅读	PAD	0.025	0.019	0.017	0.016	0.013999999999999999	0.013000000000000001	0.012	0.011000000000000001	0.01	0.01	0.0
军爷	军爷|撩妻|之|情不自禁	阅读	1	train	10	军爷|有色|之|娇妻|难|宠	军爷|撩妻|之|情不自禁	军爷|的|神秘|娇妻	军爷|的|霸道|总攻|小说	军爷|谋婚|痞妻|撩|人	军爷|宠妻|之|不|擒|自|来	军爷|撩妻|有|度	军爷|的|霸道|总攻	军爷|宠入骨	军爷|宠妻|深入|骨	PAD	0.18899999999999997	0.15	0.098	0.092	0.071	0.036000000000000004	0.034	0.031	0.023	0.019	0.0
北	北京|天气	百科	0	train	10	北京|时间	北京|天气	北京大学	北京	北京|天气|预报	北京|现代	北戴河	北海	北京|师范大学	北京|地铁|线路图	PAD	0.032	0.031	0.012	0.011000000000000001	0.006999999999999999	0.005	0.005	0.005	0.004	0.004	0.0
变压器	变压器	百科	0	train	10	变压器|规格|型号	变压器|的|工作|原理	变压器|价格	变压器|容量	变压器|回收	变压器|图片	变压器|油	变压器|有|辐射|吗	变压器|原理	变压器|油|的|作用	PAD	0.061	0.057	0.024	0.022000000000000002	0.017	0.015	0.013999999999999999	0.011000000000000001	0.011000000000000001	0.01	0.0
嗜铬	结肠|嗜铬|细胞瘤	百科	0	train	10	嗜铬|细胞瘤	嗜铬|细胞瘤|临床|表现	嗜铬|细胞瘤|是|个|什么|病	嗜铬|怎么|读	嗜铬|细胞瘤|是|癌症|吗	嗜铬|细胞	嗜铬|细胞瘤|诊断	嗜铬|细胞瘤|严重|吗	嗜铬|细胞瘤|手术|成功率	嗜铬|细胞瘤|是|大|手术|吗	PAD	0.63	0.128	0.065	0.027000000000000003	0.021	0.019	0.013999999999999999	0.013000000000000001	0.012	0.011000000000000001	0.0
宫崎骏	宫崎骏|的|回忆	音乐	0	train	8	宫崎骏|作品	宫崎骏|动漫	宫崎骏|动漫|图片	宫崎骏|语录	宫崎骏|的|所有|动画|电影	宫崎骏|的|所有|作品	宫崎骏|经典|语录	宫崎骏|动漫|电影	PAD	PAD	PAD	0.075	0.07200000000000001	0.032	0.027000000000000003	0.025	0.02	0.008	0.006999999999999999	0.0	0.0	0.0
说谎|心理	说谎|心理学|:|为什么|不|说谎|2C|我们|就|活|不|下去	百科	0	train	1	说谎|心理学	PAD	PAD	PAD	PAD	PAD	PAD	PAD	PAD	PAD	PAD	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
对联	对联|大全	应用	0	train	10	对联|大全	对|联大|全集	对联|100|副|欣赏	对联|生成器	对联|的|起源	对联|的|特点	对联|大全|千古|绝对	对联|平仄	对联	对联|生成器|在线|生成	PAD	0.237	0.048	0.042	0.025	0.017	0.012	0.01	0.01	0.009000000000000001	0.008	0.0
尼尔斯	尼尔斯|骑鹅|旅行|记	阅读	1	train	10	尼尔斯|骑鹅|旅行|记	尼尔斯|骑鹅|历|险记	尼尔斯奥拉夫三世	尼尔斯|骑鹅|记|读后感	尼尔斯|骑鹅|旅行|记|简介	尼尔斯奥拉夫	尼尔斯|骑鹅|旅行|记|作者	尼尔斯|骑鹅|历险记|续|写	尼尔斯|骑鹅|历险记|教案	尼尔斯|骑鹅|旅行	PAD	0.409	0.17300000000000001	0.045	0.02	0.017	0.016	0.015	0.015	0.013000000000000001	0.013000000000000001	0.0
爱奇艺	爱奇艺	应用	0	train	10	爱奇艺|下载	爱奇艺|官网	爱奇艺|\|电视剧	爱奇艺|视频	爱奇艺|会员	爱奇艺|\	爱奇艺|app|下载	爱奇艺|会员|账号|免费	爱奇艺	爱奇艺|下截	PAD	0.078	0.047	0.027000000000000003	0.025	0.021	0.013000000000000001	0.013000000000000001	0.013000000000000001	0.009000000000000001	0.006999999999999999	0.0
成都|职业	成都|职业|技术|学院	百科	1	train	10	成都|职业|技术|学院	成都|职业|技术|学院|官网	成都|职业|技术|学校	成都|职业|学校	成都|职业|学院	成都|职业|技术|学院|贴吧	成都|职业|技术学校|官网	成都|职业|学校|排名	成都|职业|学校|有|哪些	成都|职业|技术|学院|宿舍	PAD	0.56	0.242	0.038	0.027999999999999997	0.012	0.011000000000000001	0.01	0.01	0.009000000000000001	0.008	0.0
抖音|下载	西瓜|视频|原|头条|视频	应用	0	train	10	抖音|下载|安装	抖音|下载|官方|app	抖音|下载|手机|版	抖音|下载|安装|免费|下载	抖音|下载|安装|安卓	抖音|下载	抖音|下载|免费	抖音|下载|的|游戏|在|哪	抖音|下载|安装|安卓装	抖音|下载|视频	PAD	0.077	0.013000000000000001	0.011000000000000001	0.01	0.006999999999999999	0.004	0.003	0.002	0.001	0.001	0.0
折	折纸|大全	百科	1	train	10	折纸|大全	折纸	折纸|大全|简单|又|漂亮	折耳猫	折纸|玫瑰	折纸|教程	折腰	折纸枪	折|800	折纸花	PAD	0.077	0.042	0.035	0.022000000000000002	0.019	0.015	0.013000000000000001	0.012	0.01	0.01	0.0
中国|地震	中国|地震台	百科	0	train	10	中国|地震网	中国|地震|台网	中国|地震带	中国|地震|台网|速报	中国|地震网|最新|消息	中国|地震局	中国|地震网|最新|消息息	中国|地震|信息网	中国|地震局|最新|消息	中国|地震局|官网	PAD	0.301	0.217	0.091	0.073	0.068	0.034	0.019	0.017	0.016	0.016	0.0
高考|满分	高考|满分|作文	百科	1	train	10	高考|满分|作文	高考|满分|多少	高考|满分|作文|800|字	高考|满分|作文|精选	高考|满分|多少|分|2018	高考|满分|作文|大全	高考|满分|议论文|800|字	高考|满分|作文|2018	高考|满分|多少|分	高考|满分|议论文	PAD	0.401	0.131	0.08199999999999999	0.048	0.046	0.018000000000000002	0.017	0.015	0.013999999999999999	0.013000000000000001	0.0
