prefix	title	tag	label	flag	num	text_1	text_2	text_3	text_4	text_5	text_6	text_7	text_8	text_9	text_10	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
蒲公英	蒲公英	应用	-1	test	10	蒲公英|茶|的|功效|与|作用	蒲公英|的|功效|与|作用	蒲公英|图片	蒲公英|茶	蒲公英|根|泡水|喝|的|功效	蒲公英|的|功效	蒲公英|泡水|喝|的|功效	蒲公英|根	蒲公英|茶|可以|天天|喝|吗	蒲公英|之恋	0.13	0.113	0.059000000000000004	0.057	0.025	0.018000000000000002	0.018000000000000002	0.013000000000000001	0.013000000000000001	0.01
前列腺炎	前列腺炎|危害	百科	-1	test	10	前列腺炎|症状	前列腺炎|什么|症状	前列腺炎|吃|什么|药	前列腺炎|症状|自我|疗法	前列腺炎|怎么|引起|的	前列腺炎|的|自我|疗法	前列腺炎|能|彻底|治愈|吗	前列腺炎|如何	前列腺炎|的|症状	前列腺炎|症状|吃|啥|药|好	0.205	0.071	0.068	0.055999999999999994	0.052000000000000005	0.028999999999999998	0.022000000000000002	0.013999999999999999	0.012	0.01
老公|太	老公|太|霸道	阅读	-1	test	10	老公|太深|了|好|痛|gif|视频	老公|太|撩人	老公|太深|了|慢|一点	老公|太|凶猛	老公|太|无赖	老公|太缠|人|免费|阅读	老公|太猛|怎么办	老公|太|生猛|全文|阅读	老公|太缠|人|岑乔	老公|太深|了|太深|了|mp3	0.366	0.027999999999999997	0.023	0.022000000000000002	0.022000000000000002	0.021	0.017	0.017	0.016	0.015
蜂	蜂蜜|泡|柠檬|的|做法	菜谱	-1	test	10	蜂蜜水|的|作用|与|功效	蜂蜜	蜂蜜|柠檬水	蜂王浆|的|作用|与|功效	蜂蜜|的|作用|与|功效	蜂蜜|柠檬	蜂蜜|柠檬水|的|做法	蜂蜜|做|面膜	蜂蜜水	蜂王浆	0.079	0.032	0.019	0.011000000000000001	0.009000000000000001	0.009000000000000001	0.009000000000000001	0.008	0.008	0.008
优	优|酷网	网站	-1	test	8	优酷	优速|快递|单|号|查询	优酷|下载	优信|二手车	优酷|app|下载	优衣库	优速|快递|查询	优速|快递	PAD	PAD	0.126	0.026000000000000002	0.016	0.016	0.013000000000000001	0.012	0.012	0.01	0.0	0.0
有理数	有理数	百科	-1	test	10	有理数|是|什么	有理数|的|定义	有理数|集	有理数|的|加减法	有理数|混合|运算|100|题	有理数|包括|什么	有理数|和|无理数|的|区别	有理数|的|乘方	有理数|和|无理数	有理数|的|混合|运算	0.09300000000000001	0.081	0.066	0.032	0.013000000000000001	0.01	0.01	0.01	0.009000000000000001	0.009000000000000001
携程	携程|旅行	应用	-1	test	10	携程网	携程网	携程|旅游网	携程|旅行	携程|电话	携程|旅行网	携程|客服|电话	携程|退票|怎么|退	携程网|机票|查询	携程网|官网	0.158	0.1	0.043	0.042	0.031	0.017	0.013000000000000001	0.013000000000000001	0.013000000000000001	0.011000000000000001
赶集网	赶集网	应用	-1	test	10	赶集网|官网	赶集网|找|工作	赶集网|租房	赶集网|招聘	赶集网|招聘|找|工作|2018	赶集网|二手房	赶集网|官网|首页	赶集网|二手车	赶集网|二手车|出售	赶集网|首页	0.172	0.066	0.057999999999999996	0.033	0.021	0.012	0.009000000000000001	0.006999999999999999	0.005	0.003
葫芦	葫芦|侠|3|楼	百科	-1	test	10	葫芦|侠	葫芦|侠三楼	葫芦|侠|3|楼|下载	葫芦|侠|3|楼	葫芦|侠|下载	葫芦娃	葫芦|侠三楼|破解版	葫芦|侠|破解版	葫芦|侠	葫芦|侠三楼|下载	0.381	0.081	0.07200000000000001	0.05	0.025	0.022000000000000002	0.02	0.016	0.016	0.01
酷	酷狗|音乐	网站	-1	test	10	酷狗|音乐	酷狗	酷狗|音乐|下载	酷|我|音乐	酷狗|音乐|下载安装|2018	酷跑	酷|的|滕	酷狗|音乐|播放器	酷狗|音乐	酷安	0.172	0.062	0.040999999999999995	0.033	0.027999999999999997	0.027000000000000003	0.016	0.012	0.011000000000000001	0.009000000000000001
